tablenames,tablevars,mstarpre,mstardir,rvdasmsg,tableunts,longnames,mstarvars,mstarunts
autosal_autosal,"time,temperature",autosal,lab,autosal," , "," , ","time,temperature"," , "
cnav_gngga,"time,utctime,latitude,latdir,longitude,londir,altitude",cnav,nav,gngga," , , , , , , "," , ,Latitude, ,Longitude, ,Antenna altitude above mean sea level","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff, , , , , "
cnav_gnvtg,"time,courseoverground,speedknots,speedkmph",cnav,nav,gnvtg," , , , "," , , , ","time,courseoverground,speedknots,speedkmph"," , , , "
ea640_sddbs,"time,waterdepthmetrefromsurface",ea640,bathy,sddbs," , "," , ","time,waterdepthfromsurface"," ,meter"
ea640_sddpt,"time,waterdepthmetretransducer,transduceroffset",ea640,bathy,sddpt," , , "," , ,z-axis distance from the platform coordinate system origin to the sonar transducer in metres","time,waterdepthtransducer,transduceroffset"," ,meter, "
em122_kidpt,"time,waterdepthmetre,transduceroffset",em122,bathy,kidpt," , , "," , , ","time,waterdepth,transduceroffset"," ,meter, "
fugro_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",fugro,nav,gpgga," , , , , , , "," , ,Latitude, ,Longitude, ,Antenna altitude above mean sea level","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff, , , , , "
fugro_gpvtg,"time,courseoverground,speedknots,speedkmph",fugro,nav,gpvtg," , , , "," , , , ","time,courseoverground,speedknots,speedkmph"," , , , "
phins_hehdt,"time,headingtrue",phins,nav,hehdt," , "," , ","time,headingtrue"," , "
phins_pixseatitud,"time,roll,pitch",phins,nav,pixseatitud," , , "," ,Roll,Pitch","time,roll,pitch"," , , "
phins_pixsegpsin0,"time,latitudedd,longitudedd,altitude,utctime",phins,nav,pixsegpsin0," , , , , "," , , ,altitude, ","time,latitudedd,longitudedd,altitude,utctime"," , , , ,hhmmss_fff"
phins_pixseheave0,"time,surge,sway,heave",phins,nav,pixseheave0," , , , "," ,surge,sway,heave","time,surge,sway,heave"," , , , "
posmv_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",posmv,nav,gpgga," , ,decimal degrees, ,decimal degrees, , "," , ,Latitude, ,Longitude, ,Antenna altitude above mean sea level","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal degrees, ,decimal degrees, , "
posmv_gphdt,"time,headingtrue",posmv,nav,gphdt," , "," , ","time,headingtrue"," , "
posmv_gpvtg,"time,coursetrue,speedknots,speedkmph",posmv,nav,gpvtg," , , , "," , , , ","time,coursetrue,speedknots,speedkmph"," , , , "
