RVDAS info from database "DY204" and .json files in /data/pstar_kolea/projects/rpdmoc/cruise_data/dy204/mcruise/data/rvdas/json_files
loaded by mrdefine.m on 09-Feb-2026 17:20:33
saved in /data/pstar_kolea/projects/rpdmoc/cruise_data/dy204/mcruise/data/rvdas/rvtabledef_dy204.mat and /data/pstar_akeake/programs/repos_userbranched/ocp_hydro_matlab_yfiring/file_tools/mexec/mrvdas/rvtabledef_dy204.csv
csv copy only for information (.mat used by mrdefine)

tablenames, tablevars, mstarpre, mstardir, paramtype, rvdasmsg, tableunts, longnames, serials, calfunc, calcoef, caled, mstarvars, mstarunts
adcp_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed",adcp,other,log,vdvbw," ,knots,knots, , ","","",""," ,,,,","","time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed"," ,knots,knots, , "
cnav_gngga,"time,utctime,latitude,latdir,longitude,londir,altitude",cnav,nav,pos,gngga," , ,decimal degrees, ,decimal degrees, ,metres"," ,UTC Time,Latitude,Latitude Cardinal Direction,Longitude,Longitude Cardinal Direction,Antenna altitude above mean sea level","",""," ,,,,,,","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal degrees, ,decimal degrees, ,metres"
ea640_sddbs,"time,waterdepthmetrefromsurface",ea640,bathy,sbm,sddbs," ,metres"," ,Depth metres from the surface","",""," ,","","time,waterdepthfromsurface"," ,m"
ea640_sddbt,"time,depthmetre",ea640,bathy,sbm,sddbt," ,metre"," ,Depth below transducer in metre","",""," ,","","time,depth"," ,m"
ea640_sddpt,"time,waterdepthmetretransducer,transduceroffset",ea640,bathy,sbm,sddpt," , , "," ,Depth in metres from the transducer,z-axis distance from the platform coordinate system origin to the sonar transducer in metres","",""," ,,","","time,waterdepthtransducer,transduceroffset"," ,m, "
em122_kidpt,"time,waterdepthmetre,transduceroffset",em122,bathy,mbm,kidpt," ,metres, "," ,Depth in metres from the transducer centre beam,Offset of transducer from the waterline in metres","",""," ,,","","time,waterdepth,transduceroffset"," ,m, "
fugro_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",fugro,nav,pos,gpgga," , , , , , , "," ,UTC Time,Latitude,Latitude Cardinal Direction,Longitude,Longitude Cardinal Direction,Antenna altitude above mean sea level","",""," ,,,,,,","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff, , , , , "
fugro_gpvtg,"time,courseoverground",fugro,nav,shipmov,gpvtg," ,degrees"," ,Course Over Ground True","",""," ,","","time,courseoverground"," ,degrees"
nudamlgt_sflgt,"time,ptir,ppar,stir,spar",nudamlgt,met,rad,sflgt," ,Wm-2,Wm-2,Wm-2,Wm-2"," ,Port total irradience,Port photosynthetically available radiation,Starboard total irradience,Starboard photosynthetically available radiation"," ,47462,28561,47463,28557"," ,E = X *1000 / S,y=x/O,E = X * 1000 / S,y=x/O"," ,S=11.66,O=9.3,S=10.75,O=10.62","","time,ptir,ppar,stir,spar"," ,wm-2,wm-2,wm-2,wm-2"
nudammet_sfmet,"time,press,airtemp,humidity",nudammet,met,met,sfmet," ,hPa,degrees celsius,percent"," ,Atmospheric pressure,Atmospheric temperature,Atmospheric relative humidity"," ,P1640265,N1211117,N1211117",""," ,null=null,null=null,null=null","","time,press,airtemp,humidity"," ,hpa,degreesc,percent"
