invar,               hvar,      hunt
statnum,             statnum,   no
stat,                statnum,   no
stn,                 statnum,   no
stnnbr,              statnum,   no
station,             statnum,   no
x___station,         statnum,   no
g2station,           statnum,   no
niskin,              niskin,    no
position,            niskin,    no
bottle,              niskin,    no
g2bottle,            niskin,    no
sampno,              niskin,    no
lat,                 lat,       deg
latscan,             lat,       deg
latitude,            lat,       deg
lon,                 lon,       deg
lonscan,             lon,       deg
long,                lon,       deg
longitude,           lon,       deg
pressure,            press,     dbar
press,               press,     dbar
upress,              press,     dbar
ctdprs,              press,     dbar
depth,               depth,     m,
depth_m,             depth,     m
sbe35,               temp,      degC
temp,                temp,      degC
utemp,               ctdtmp,    degC
ctdtemp,             ctdtmp,    degC
ctdtmp,              temp,      degC
temperature,         temp,      degC
psal,                psal,      psu
upsal,               ctdsal,    psu
botpsal,             psal,      psu
salin,               psal,      psu
ctdsal,              ctdsal,    psu
sal,                 psal,      psu
salnty,              psal,      psu
salinity,            psal,      psu
oxygen_umol_kg,      oxygen,    umol/kg
oxyconc_umol_l,      oxygen,    umol/L
oxygen,              oxygen,    umol/kg
oxyg,                oxygen,    umol/kg
uoxygen,             ctdoxy,    umol/kg
ctdoxy,              ctdoxy,    umol/kg
botoxy,              oxygen,    umol/kg
botoxygen,           oxygen,    umol/kg
silc,                silc,      umol/L
silicate,            silc,      umol/L
silc_per_kg,         silc,      umol
silcat,              silc,      umol/kg
phos,                phos,      umol/L
phosphate,           phos,      umol/L
phos_per_kg,         phos,      umol/kg
phspht,              phos,      umol/kg
tp,                  phos,      umol/kg
dop,                 phos,      umol/kg
totnit,              no2_no3,   umol/L
no2no3,              no2_no3,   umol/kg
no2_plus_no3,        no2_no3,   umol/kg
no2_no3,             no2_no3,   umol/kg
nitrate_plus_nit,    no2_no3,   umol/L
nitrate_nit,         no2_no3,   umol/L
nitrate_nitrite,     no2_no3,   umol/L
totnit_per_kg,       no2_no3,   umol/kg
don,                 no2_no3,   umol/kg
tn,                  no2_no3,   umol/kg
nitrate,             nitrate,   umol/kg
nitrat,              nitrate,   umol/kg
no2,                 nitrite,   umol/kg
nitrite,             nitrite,   umol/L
nitrit,              nitrite,   umol/L
ammonium,            ammon,     umol/kg
alk,                 alk,       umol/kg
alkali,              alk,       umol/kg
talk,                alk,       umol/kg
ph,                  ph,              
tcarbn,              dic,       umol/kg
tco2,                dic,       umol/kg
dic,                 dic,       umol/kg
dic_umol_kg,         dic,       umol/kg
delo18,              d18o,      permille
d18o,                d18o,      permille
del18o,              d18o,      permille
cfc11,               cfc11,     pmol/kg
cfc12,               cfc12,     pmol/kg
cfc13,               cfc13,     pmol/kg
f113,                f113,      pmol/kg
sf6,                 sf6,       fmol/kg
sf5cf3,              sf5cf3,    fmol/kg
ccl4,                ccl4,      pmol/kg
