RVDAS info from database "DY214" and .json files in 
loaded by mrdefine.m on 19-Aug-2026 16:02:02
saved in /data/pstar/projects/osnap/cruises/dy214/data/rvdas/utabledef_dy214.mat and /data/pstar_kolea/programs/repos_github/ocp_hydro_matlab/mexec_data_processing/uway_steps/utabledef_dy214.csv
csv copy only for information (.mat used by mrdefine)

tablenames, tablevars, mstarpre, mstardir, paramtype, rvdasmsg, tableunts, longnames, mstarvars, mstarunts
adcp_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed",adcp,other,log,vdvbw,"","","time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed"," ,decimal_degrees,m_per_second,decimal_degrees,m_per_second"
autosal_autosal,"time,temperature",autosal,other,lab,autosal,"","","time,temperature"," ,degreesC"
brainboxmet_ppmet,"time,press,airtemp,humidity,ptir,ppar,stir,spar",brainboxmet,surfmet,met,ppmet,"","","time,press,airtemp,humidity,ptir,ppar,stir,spar"," , ,degreesC, , , , , "
cnav_gngga,"time,utctime,latitude,latdir,longitude,londir,altitude",cnav,nav,pos,gngga,"","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal_degrees,decimal_degrees,decimal_degrees,decimal_degrees, "
cnav_gnvtg,"time,courseoverground",cnav,nav,shipmov,gnvtg,"","","time,courseoverground"," , "
ctd_smctd,"time,depth,altitude,temperature1,temperature2,salinity1,salinity2,oxygen,fluorescence",ctd,other,ctd,smctd,"","","time,depth,altitude,temperature1,temperature2,salinity1,salinity2,oxygen,fluorescence"," , , ,degreesC,degreesC,psu,psu, , "
ea640_sddbs,"time,waterdepthmetrefromsurface",ea640,bathy,sbm,sddbs,"","","time,waterdepthfromsurface"," ,m"
ea640_sddbt,"time,depthmetre",ea640,bathy,sbm,sddbt,"","","time,depth"," ,m"
ea640_sddpt,"time,waterdepthmetretransducer,transduceroffset,range",ea640,bathy,sbm,sddpt,"","","time,waterdepthtransducer,transduceroffset,range"," ,m, , "
em122_kidpt,"time,waterdepthmetre,transduceroffset",em122,bathy,mbm,kidpt,"","","time,waterdepth,transduceroffset"," ,m, "
fugro_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",fugro,nav,pos,gpgga,"","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal_degrees,decimal_degrees,decimal_degrees,decimal_degrees, "
fugro_gpvtg,"time,courseoverground",fugro,nav,shipmov,gpvtg,"","","time,courseoverground"," , "
phins_hehdt,"time,headingtrue",phins,nav,head,hehdt,"","","time,headingtrue"," , "
phins_pixseatitud,"time,roll,pitch",phins,nav,att,pixseatitud,"","","time,roll,pitch"," , , "
phins_pixsegpsin0,"time,latitudedd,longitudedd,altitude,utctime",phins,nav,pos,pixsegpsin0,"","","time,latitudedd,longitudedd,altitude,utctime"," ,decimal_degrees,decimal_degrees, ,hhmmss_fff"
phins_pixseheave0,"time,surge,sway,heave",phins,nav,att,pixseheave0,"","","time,surge,sway,heave"," , , , "
posmv_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",posmv,nav,pos,gpgga,"","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal_degrees,decimal_degrees,decimal_degrees,decimal_degrees, "
posmv_gphdt,"time,headingtrue",posmv,nav,head,gphdt,"","","time,headingtrue"," , "
posmv_gpvtg,"time,coursetrue",posmv,nav,shipmov,gpvtg,"","","time,coursetrue"," , "
posmv_pashr,"time,utctime,heading,roll,pitch,heave",posmv,nav,att,pashr,"","","time,utctime,heading,roll,pitch,heave"," ,hhmmss_fff, , , , "
ranger2usbl_psonlld,"time,utctime,id,lat,lon,depth,horerrmajor,horrerrminor,deptherror,optionalspec,opt1,opt2,opt3",ranger2usbl,other,usbl,psonlld,"","","time,utctime,id,lat,lon,depth,horerrmajor,horrerrminor,deptherror,optionalspec,opt1,opt2,opt3"," ,hhmmss_fff, ,decimal_degrees,decimal_degrees, , , , , , , , "
salrmtemp_salin,"time,sn17temp,sn17temptime,sn17hum,sn17humtime,sn18temp,sn18temptime,sn18hum,sn18humtime,sn19temp,sn19temptime,sn19hum,sn19humtime,sn20temp,sn20temptime,sn20hum,sn20humtime",salrmtemp,other,lab,salin,"","","time,sn17temp,sn17temptime,sn17hum,sn17humtime,sn18temp,sn18temptime,sn18hum,sn18humtime,sn19temp,sn19temptime,sn19hum,sn19humtime,sn20temp,sn20temptime,sn20hum,sn20humtime"," ,degreesC,degreesC, , ,degreesC,degreesC, , ,degreesC,degreesC, , ,degreesC,degreesC, , "
sbe38dk_sbe38,"time,tempdk",sbe38dk,surfmet,sst,sbe38,"","","time,tempdk"," ,degreesC"
sbe45_nanan,"time,temph,conductivity,salinity,soundvelocity,tempr",sbe45,surfmet,tsg,nanan,"","","time,temph,conductivity,salinity,soundvelocity,tempr"," ,degreesC,S_per_m,psu, ,degreesC"
seapathatt_psxn23,"time,roll,pitch,heading,heave",seapathatt,nav,att,psxn23,"","","time,roll,pitch,heading,heave"," , , , , "
seapathpos_ingga,"time,utctime,latitude,latdir,longitude,londir,altitude",seapathpos,nav,pos,ingga,"","","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,decimal_degrees,decimal_degrees,decimal_degrees,decimal_degrees, "
seapathpos_inhdt,"time,headingtrue",seapathpos,nav,head,inhdt,"","","time,headingtrue"," , "
seapathpos_invtg,"time,courseoverground",seapathpos,nav,shipmov,invtg,"","","time,courseoverground"," , "
shipsgyro_hehdt,"time,headingtrue",shipsgyro,nav,head,hehdt,"","","time,headingtrue"," , "
skipperlog_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed",skipperlog,other,log,vdvbw,"","","time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed"," ,decimal_degrees,m_per_second,decimal_degrees,m_per_second"
truewind_truewind,"time,truewinddirection,truewindspeed",truewind,surfmet,wind,truewind,"","","time,truewinddirection,truewindspeed"," , ,m_per_second"
winch_winch,"time,tension,cableout,rate,backtension,rollangle",winch,other,winch,winch,"","","time,tension,cableout,rate,backtension,rollangle"," , ,m_per_second, , , "
windsonic_iimwv,"time,winddirection,windspeed",windsonic,surfmet,wind,iimwv,"","","time,winddirection,windspeed"," , ,m_per_second"
