sampnum,number,nan
statnum,number,nan
position,on.rosette,nan
time,seconds,nan
wireout,metres,nan
lat,nan
lon,nan
bottle_number,number,nan
bottle_qc_flag,woce_table_4.8,9
sbe35temp,degc,nan
sbe35flag,woce_table_4.9,9
botpsal,pss-78,nan
botpsalflag,woce_table_4.9,9
botoxy_per_l,umol/l,nan
botoxy,umol/kg,nan
botoxyflag,woce_table_4.9,9
botoxyden,kg/m3,nan
botoxya_per_l,umol/l,nan
botoxya,umol/kg,nan
botoxyflaga,woce_table_4.9,9
botoxytempa,degc,nan
botoxydena,kg/m3,nan
botoxyb_per_l,umol/l,nan
botoxyb,umol/kg,nan
botoxyflagb,woce_table_4.9,9
botoxytempb,degc,nan
botoxydenb,kg/m3,nan
upress,dbar,nan
utemp,degc90,nan
utemp1,degc90,nan
utemp2,degc90,nan
ucond,mS/cm,nan
ucond1,mS/cm,nan
ucond2,mS/cm,nan
uasal,g/kg,nan
uasal1,g/kg,nan
uasal2,g/kg,nan
upsal,pss-78,nan
upsal1,pss-78,nan
upsal2,pss-78,nan
upotemp,degc90,nan
upotemp1,degc90,nan
upotemp2,degc90,nan
uoxygen,umol/kg,nan
uoxygen1,umol/kg,nan
ufluor,ug/l,nan
udepth,metres,nan
utransmittance,percent,nan
silc,umol/l,nan
silc_flag,woce_table_4.9,9
phos,umol/l,nan
phos_flag,woce_table_4.9,9
totnit,umol/l,nan
totnit_flag,woce_table_4.9,9
no2,umol/l,nan
no2_flag,woce_table_4.9,9
alk,umol/kg,nan
alk_flag,woce_table_4.9,9
dic,umol/kg,nan
dic_flag,woce_table_4.9,9
cfc11,pmol/l,nan
cfc11_flag,woce_table_4.9,9
cfc12,pmol/l,nan
cfc12_flag,woce_table_4.9,9
sf6,fmol/l,nan
sf6_flag,woce_table_4.9,9
f113,pmol/l,nan
f113_flag,woce_table_4.9,9
ccl4,pmol/l,nan
ccl4_flag,woce_table_4.9,9
sf5cf3,fmol/l,nan
sf5cf3_flag,woce_table_4.9,9
del13c_whoi,per_mil,nan
del13c_whoi_flag,woce_table_4.9,9
del14c_whoi,per_mil,nan
del14c_whoi_flag,woce_table_4.9,9
del13c_bgs,per_mil,nan
del13c_bgs_flag,woce_table_4.9,9
del18o_bgs,per_mil,nan
del18o_bgs_flag,woce_table_4.9,9
