sampnum,number
statnum,number
position,on.rosette
time,seconds
wireout,metres
lat,nan
lon,nan
bottle_number,number
bottle_qc_flag,woce_table_4.8
sbe35temp,degc
sbe35flag,woce_table_4.9
botpsal,pss-78
botpsalflag,woce_table_4.9
botoxy_per_l,umol/l
botoxy,umol/kg
botoxyflag,woce_table_4.9
botoxyden,kg/m3
botoxya_per_l,umol/l
botoxya,umol/kg
botoxyflaga,woce_table_4.9
botoxytempa,degc
botoxydena,kg/m3
botoxyb_per_l,umol/l
botoxyb,umol/kg
botoxyflagb,woce_table_4.9
botoxytempb,degc
botoxydenb,kg/m3
upress,dbar
utemp,degc90
utemp1,degc90
utemp2,degc90
ucond,mS/cm
ucond1,mS/cm
ucond2,mS/cm
uasal,g/kg
uasal1,g/kg
uasal2,g/kg
upsal,pss-78
upsal1,pss-78
upsal2,pss-78
upotemp,degc90
upotemp1,degc90
upotemp2,degc90
uoxygen,umol/kg
uoxygen1,umol/kg
ufluor,ug/l
udepth,metres
utransmittance,percent
silc,umol/l
silc_flag,woce_table_4.9
phos,umol/l
phos_flag,woce_table_4.9
totnit,umol/l
totnit_flag,woce_table_4.9
no2,umol/l
no2_flag,woce_table_4.9
alk,umol/kg
alk_flag,woce_table_4.9
dic,umol/kg
dic_flag,woce_table_4.9
cfc11,pmol/l
cfc11_flag,woce_table_4.9
cfc12,pmol/l
cfc12_flag,woce_table_4.9
sf6,fmol/l
sf6_flag,woce_table_4.9
f113,pmol/l
f113_flag,woce_table_4.9
ccl4,pmol/l
ccl4_flag,woce_table_4.9
sf5cf3,fmol/l
sf5cf3_flag,woce_table_4.9
del13c_whoi,per_mil
del13c_whoi_flag,woce_table_4.9
del14c_whoi,per_mil
del14c_whoi_flag,woce_table_4.9
del13c_bgs,per_mil
del13c_bgs_flag,woce_table_4.9
del18o_bgs,per_mil
del18o_bgs_flag,woce_table_4.9
