RVDAS info from database "JC282" and .json files in 
loaded by mrdefine.m on 13-Aug-2025 09:57:54
saved in /data/pstar/projects/obg/jc282/mcruise/data/rvdas/rvtabledef_jc282.mat and /data/pstar/repos/NOC-OCP/ocp_hydro_matlab/file_tools/mexec/mrvdas/rvtabledef_jc282.csv
csv copy only for information (.mat used by mrdefine)

tablenames, tablevars, mstarpre, mstardir, paramtype, rvdasmsg, tableunts, longnames, mstarvars, mstarunts
adcp_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,null1,null2,null3",adcp,other,log,vdvbw," , , , , , "," , , ,Null,Null,Null","time,longitudinalwaterspeed,transversewaterspeed,null1,null2,null3"," ,decimal_degrees,m_per_second, , , "
cnav_gngga,"time,utctime,latitude,latdir,longitude,londir,altitude",cnav,nav,pos,gngga," , ,degrees and decimal minutes, ,degrees and decimal minutes, ,metres"," , ,Latitude (degrees and decimal minutes), ,Longitude (degrees and decimal minutes), ,Antenna altitude above mean sea level","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,,decimal_degrees,,decimal_degrees,metres"
cnav_gnvtg,"time,cog,cogm,sog,sogkmph",cnav,nav,shipmov,gnvtg," ,degrees,degrees,knots,Kilometre per hours"," ,Course Over Ground True,Course Over Ground Magnetic,Speed Over Ground in Knots,Speed Over Ground in Kilometre per Hours","time,cog,cogm,sog,sogkmph"," ,degrees,degrees,knots,kilometre per hours"
ea640_sddbs,"time,depthmetre",ea640,bathy,sbm,sddbs," , "," , ","time,depth"," ,m"
ea640_sddpt,"time,depth,transduceroffset",ea640,bathy,sbm,sddpt," ,metres, "," ,Depth in meters from the transducer, ","time,depth,transduceroffset"," ,metres, "
em122_kidpt,"time,waterdepthmeter,transduceroffset",em122,bathy,mbm,kidpt," , , "," , , ","time,waterdepth,transduceroffset"," ,m, "
posmv_gpgga,"time,utctime,latitude,latdir,longitude,londir,altitude",posmv,nav,pos,gpgga," , ,degrees and decimal minutes, ,degrees and decimal minutes, ,metres"," , ,Latitude (degrees and decimal minutes),Latitude Direction (N|S),Longitude (degrees and decimal minutes),Longitude Direction (E|W),Antenna altitude above mean sea level","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff,,decimal_degrees,,decimal_degrees,metres"
posmv_gpggk,"time,utctime,pdop,eht",posmv,nav,pos,gpggk," , , , "," , ,Dilution of Precision of Fix,Elipsoid height of fix (vessel height above WGS84 ellipsoid)","time,utctime,pdop,eht"," ,hhmmss_fff, , "
posmv_gphdt,"time,heading",posmv,nav,head,gphdt," ,degrees"," ,Heading True","time,heading"," ,degrees"
posmv_gpvtg,"time,cog,cogm,sog,sogkmph",posmv,nav,shipmov,gpvtg," ,degrees,degrees,knots,Kilometre per hours"," ,Course Over Ground True,Course Over Ground Magnetic,Speed Over Ground in Knots,Speed Over Ground in Kilometre per Hours","time,cog,cogm,sog,sogkmph"," ,degrees,degrees,knots,kilometre per hours"
