EXPOCODE, ,,%s
SECT_ID, ,,%s
STNNBR, ,statnum,%d
CASTNO, ,,%d
SAMPNO, ,position,%d
BTLNBR, ,bottle_number,%d
BTLNBR_FLAG_W, ,bottle_qc_flag,%d
DATE, ,,%s
TIME, ,,%s
LATITUDE, ,,%11.5f
LONGITUDE, ,,%11.5f
DEPTH, ,,%6f
CTDPRS,DBAR,upress,%8.1f
CTDTMP,ITS-90,utemp,%8.4f
CTDTMP_FLAG_W, ,ctdflag,%d
SBE35,ITS-90,sbe35temp,%8.4f
SBE35_FLAG_W, ,sbe35flag,%d
CTDSAL,PSS-78,upsal,%8.4f
CTDSAL_FLAG_W, ,ctdflag,%d
SALNTY,PSS-78,botpsal,%8.4f
SALNTY_FLAG_W, ,botpsalflag,%d
CTDOXY,UMOL/KG,uoxygen,%8.1f
CTDOXY_FLAG_W, ,ctoflag,%d
OXYGEN,UMOL/KG,botoxy,%8.1f
OXYGEN_FLAG_W, ,botoxyflag,%d
SILCAT,UMOL/KG,silc_per_kg,%8.2f
SILCAT_FLAG_W, ,silc_flag,%d
NITRAT,UMOL/KG,,%8.2f
NITRAT_FLAG_W, ,,%d
NITRIT,UMOL/KG,,%8.2f
NITRIT_FLAG_W, ,,%d
NO2+NO3,UMOL/KG,totnit_per_kg,%8.2f
NO2+NO3_FLAG_W, ,totnit_flag,%d
PHSPHT,UMOL/KG,phos_per_kg,%8.2f
PHSPHT_FLAG_W, ,phos_flag,%d
ALKALI,UMOL/KG,alk,%8.1f
ALKALI_FLAG_W, ,alk_flag,%d
TCARBN,UMOL/KG,dic,%8.1f
TCARBN_FLAG_W, ,dic_flag,%d
CFC-11,PMOL/L,cfc11,%8.3f
CFC-11_FLAG_W, ,cfc11_flag,%d
CFC-12,PMOL/L,cfc12,%8.3f
CFC-12_FLAG_W, ,cfc12_flag,%d
CFC113,PMOL/L,f113,%8.3f
CFC113_FLAG_W, ,f113_flag,%d
CCL4,PMOL/L,ccl4,%8.3f
CCL4_FLAG_W, ,ccl4_flag,%d
SF6,FMOL/L,sf6,%8.3f
SF6_FLAG_W, ,sf6_flag,%d
SF5CF3,FMOL/L,sf5cf3,%8.3f
SF5CF3_FLAG_W, ,sf5cf3_flag,%d
DELC14,/MILLE,del14c_whoi,%8.2f
DELC14_FLAG_W, ,del14c_whoi_flag,%d
DELC13,/MILLE,del13c_bgs,%8.2f
DELC13_FLAG_W, ,del13c_bgs_flag,%d
DELO18,/MILLE,del18o,%8.4f
DELO18_FLAG_W, ,del18o_flag,%d
D15N_NO3,/MILLE,del15n,%8.4f
D15N_NO3_FLAG_W, ,del15n_flag,%d
D30SI_SILCAT,/MILLE,del30si,%8.4f
D30SI_SILCAT_FLAG_W, ,del30si_flag,%d
end,end,end,%s
